name,fuel,p_min_mw,p_max_mw,varcost_usd_per_mwh,ramp_mw_per_hr,source,plant_code,generator_id,technology,heat_rate_mmbtu_per_mwh,co2_kg_per_mwh,capacity_source,varcost_source,constraint_source,emissions_source
H Power GEN1,Municipal solid waste,46.4,58.0,10.0,11.6,EIA-860/923 + HECO IGP; assumed operating constraints,10334,GEN1,municipal_waste,19.704513,675.647608,EIA860-2024 summer capacity,EIA923-2024 heat rate; assumed zero fuel cost; ATB VOM proxy,assumed: p_min=80% and ramp=20% of p_max per hour,EPA-eGRID2023 HIOA output-rate proxy
H Power GEN2,Municipal solid waste,22.4,28.0,10.0,5.6,EIA-860/923 + HECO IGP; assumed operating constraints,10334,GEN2,municipal_waste,19.704513,675.647608,EIA860-2024 summer capacity,EIA923-2024 heat rate; assumed zero fuel cost; ATB VOM proxy,assumed: p_min=80% and ramp=20% of p_max per hour,EPA-eGRID2023 HIOA output-rate proxy
Kalaeloa combined cycle,LSFO,88.0,220.0,96.054293,110.0,EIA-860/923 + HECO IGP; assumed operating constraints,54646,CT1+CT2+ST,combined_cycle,8.104931,673.221871,EIA860-2024 sum of combined-cycle component summer capacities,EIA923-2024 plant heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=40% and ramp=50% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Kahe K1,LSFO,31.16,77.9,126.396861,23.37,EIA-860/923 + HECO IGP; assumed operating constraints,765,K1,steam,10.688401,887.813257,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=40% and ramp=30% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Kahe K2,LSFO,31.24,78.1,126.396861,23.43,EIA-860/923 + HECO IGP; assumed operating constraints,765,K2,steam,10.688401,887.813257,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=40% and ramp=30% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Kahe K3,LSFO,32.84,82.1,126.396861,24.63,EIA-860/923 + HECO IGP; assumed operating constraints,765,K3,steam,10.688401,887.813257,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=40% and ramp=30% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Kahe K4,LSFO,34.88,87.2,126.396861,26.16,EIA-860/923 + HECO IGP; assumed operating constraints,765,K4,steam,10.688401,887.813257,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=40% and ramp=30% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Kahe K5,LSFO,51.24,128.1,126.396861,38.43,EIA-860/923 + HECO IGP; assumed operating constraints,765,K5,steam,10.688401,887.813257,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=40% and ramp=30% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Kahe K6,LSFO,51.48,128.7,126.396861,38.61,EIA-860/923 + HECO IGP; assumed operating constraints,765,K6,steam,10.688401,887.813257,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=40% and ramp=30% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Waiau W3,LSFO,18.88,47.2,134.48258,14.16,EIA-860/923 + HECO IGP; assumed operating constraints,766,W3,steam,11.400309,946.946646,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=40% and ramp=30% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
